timestamp,interceptor_flow_gpm
2023-01-22,2844591.7518410175
2023-01-23,3111853.508304068
2023-01-24,3570994.4482533056
2023-01-25,4133794.5256721037
2023-01-26,4397296.902898492
2023-01-27,4479252.050117487
2023-01-28,4356721.736684045
2023-01-29,4311363.456623441
2023-01-30,4234611.5995833995
2023-01-31,4065998.153563309
2023-02-01,3952923.3011679426
2023-02-02,3753840.932956708
2023-02-03,3603009.8566628355
2023-02-04,3482691.175641506
2023-02-05,3489074.7533301916
2023-02-06,3305435.4276660723
2023-02-07,2985623.578550752
2023-02-08,2908063.100150029
2023-02-09,2776587.154550843
2023-02-10,2678611.20172337
2023-02-11,2561831.541303672
2023-02-12,2556782.69435038
2023-02-13,3454196.8071180694
2023-02-14,3076066.5578775518
2023-02-15,2910170.677828349
2023-02-16,3794390.6002399074
2023-02-17,5205192.5705846045
2023-02-18,5603928.256635185
2023-02-19,6099353.143047676
2023-02-20,7631688.100347065
2023-02-21,7321486.884983614
2023-02-22,6060144.247700058
2023-02-23,5339484.739160616
2023-02-24,4751918.325857544
2023-02-25,4495538.50392147
2023-02-26,4338093.168081795
2023-02-27,4027966.4228087175
2023-02-28,3932521.7541926373
2023-03-01,4170771.097693477
2023-03-02,7980843.884854742
2023-03-03,8395852.24069723
2023-03-04,9329201.933033977
2023-03-05,16023071.317327928
2023-03-06,14508200.13847225
2023-03-07,11303236.4293138
2023-03-08,9294410.644152043
2023-03-09,7675961.192868465
2023-03-10,6598821.292857086
2023-03-11,5840651.182380475
2023-03-12,5162991.7309739925
2023-03-13,4899364.823130792
2023-03-14,4577173.861191844
2023-03-15,4193992.2777000736
2023-03-16,3870093.3794043637
2023-03-17,3654515.569692413
2023-03-18,3452186.9403066305
2023-03-19,3251829.297835985
2023-03-20,3088003.1856746785
2023-03-21,2944529.8063615332
2023-03-22,2871252.5030009444
2023-03-23,2798190.434241312
2023-03-24,2858480.0164024755
2023-03-25,3392741.2693045964
2023-03-26,4459282.291483043
2023-03-27,7675560.565741645
2023-03-28,8084328.928037661
2023-03-29,6856946.595298601
2023-03-30,5742189.743189806
2023-03-31,4942235.288273504
2023-04-01,4482336.416421756
2023-04-02,4139847.7764414744
2023-04-03,3870494.6380336047
2023-04-04,3720977.4529122002
2023-04-05,3821726.01969824
2023-04-06,3864839.0526578836
2023-04-07,3686087.518357257
2023-04-08,3479123.972434202
2023-04-09,3263804.325448372
2023-04-10,3109728.8320895513
2023-04-11,2890746.49858453
2023-04-12,2733433.2895192183
2023-04-13,2589588.27779695
2023-04-14,2486504.685552506
2023-04-15,2432741.0782443504
2023-04-16,2361605.490981449
2023-04-17,2537848.2511190115
2023-04-18,2420842.98134116
2023-04-19,2364256.6432778114
2023-04-20,2261388.206714794
2023-04-21,2075308.971659884
2023-04-22,2074003.396903942
2023-04-23,2155063.926865311
2023-04-24,2025131.50280412
2023-04-25,1982502.0065924039
2023-04-26,1878399.4831108511
2023-04-27,1823842.374236718
2023-04-28,2081453.8531627941
2023-04-29,3219190.0679280288
2023-04-30,4753430.690020256
2023-05-01,9469653.62488094
2023-05-02,12257728.374312779
2023-05-03,11588856.998413527
2023-05-04,9242353.08137597
2023-05-05,7944268.253780578
2023-05-06,7948179.538701007
2023-05-07,7405681.628536607
2023-05-08,6330623.336669383
2023-05-09,5421803.482499481
2023-05-10,5079992.057775689
2023-05-11,5438852.311396805
2023-05-12,8441329.063733093
2023-05-13,7001752.413364469
2023-05-14,5791317.312939481
2023-05-15,4934615.400957226
2023-05-16,4321741.124900828
2023-05-17,4242134.34052586
2023-05-18,3751787.9542400055
2023-05-19,3387689.9058011593
2023-05-20,2973270.623489107
2023-05-21,2729710.8516085385
2023-05-22,2403909.9598542815
2023-05-23,2218682.3957822095
2023-05-24,2054398.8111288582
2023-05-25,1888911.1811530583
2023-05-26,1768640.2631378763
2023-05-27,1649292.773524651
2023-05-28,1764650.3526040441
2023-05-29,1753640.658070644
2023-05-30,1565024.2925932275
2023-05-31,1405733.848899062
2023-06-01,1348932.9903568076
2023-06-02,1281726.460772869
2023-06-03,1124234.3533007423
2023-06-04,1106278.6647891523
2023-06-05,1045507.1984652051
2023-06-06,964573.8818750617
2023-06-07,934620.1091597935
2023-06-08,960910.6394489729
2023-06-09,855040.8121309398
2023-06-10,832527.2164115561
2023-06-11,792309.7340134544
2023-06-12,766916.5475672
2023-06-13,811849.2927495459
2023-06-14,781825.2402851555
2023-06-15,785232.0839262052
2023-06-16,809623.5315436936
2023-06-17,832694.6952315787
2023-06-18,835173.0111614626
2023-06-19,825743.833057627
2023-06-20,951227.2369704687
2023-06-21,1120088.415607245
2023-06-22,1096943.1229949368
2023-06-23,1423541.3562429002
2023-06-24,1397585.7367853571
2023-06-25,1367044.0401416635
2023-06-26,1624134.9717754556
2023-06-27,2683256.6543016834
2023-06-28,2955972.205166923
2023-06-29,2379509.0567033496
2023-06-30,2099785.3762091203
2023-07-01,2019336.6653367488
2023-07-02,1819741.320863219
2023-07-03,1599700.764526553
2023-07-04,1787949.1717494177
2023-07-05,1716788.1362213106
2023-07-06,1761457.7075059598
2023-07-07,1686173.7918127163
2023-07-08,1342545.4680277596
2023-07-09,1195073.7446507802
2023-07-10,1261502.3275047583
2023-07-11,1166034.1466393617
2023-07-12,1211327.9014746551
2023-07-13,1177353.821134298
